도서관명,시도명,시군구명,도서관유형,운영시작시각,운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수
영동초등학교 도서관,충청북도,영동군,학교도서관,8:40,17:00,36,14446,504,163,3,14
옥련1동작은도서관,인천광역시,연수구,작은도서관,10:00,18:00,34,14507,0,0,5,15
장성군립삼계도서관,전라남도,장성군,공공도서관,9:00,19:00,60,14678,22,0,5,14
부용햇살글마을,충청북도,영동군,학교도서관,9:00,17:00,57,14759,12,220,2,7
다사읍작은도서관,대구광역시,달성군,작은도서관,09:00,18:00,64,41803,0,0,3,7
중앙도서관,광주광역시,동구,공공도서관,9:00,17:00,790,148196,10,8599,5,15
서부도서관,경상남도,진주시,공공도서관,9:00,18:00,769,149885,84,4963,5,14
의병도서관,충청북도,충청북도 제천시,공공도서관,9:00,18:00,10,15006,0,167,5,7
구지면작은도서관,대구광역시,달성군,작은도서관,09:00,18:00,30,15015,9,0,5,14
대덕도서관,울산광역시,울주군,작은도서관,9:00,18:00,61,15180,0,0,3,14
화원읍작은도서관,대구광역시,달성군,작은도서관,09:00,18:00,70,15511,9,0,5,14
다사읍서재작은도서관,대구광역시,달성군,작은도서관,09:00,18:00,54,15722,9,0,5,14
영동고등학교 도서관,충청북도,영동군,학교도서관,8:30,16:30,60,15772,0,16,2,7
산수도서관,광주광역시,동구,공공도서관,9:00,18:00,350,154816,55,9588,5,15
중앙도서관,전라북도,정읍시,공공도서관,9:00,0:00,300,154880,40,2842,5,10
웅상도서관,경상남도,양산시,공공도서관,9:00,22:00,1200,155874,84,19115,5,21
기장도서관,부산광역시,기장군,공공도서관,7:00,0:00,524,157172,64,6964,5,15
청소년센터 작은도서관,대구광역시,달성군,작은도서관,09:00,21:00,67,16292,0,0,3,14
이수초등학교도서관,충청북도,영동군,학교도서관,9:00,17:00,65,16609,2,106,3,7
장유도서관,경상남도,김해시,공공도서관,09:00,23:00,376,164015,141,9643,5,14
관악문화관도서관,서울특별시,관악구,공공도서관,9:00,22:00,549,167474,62,22891,5,14
용꿈꾸는 작은도서관,서울특별시,관악구,구립작은도서관,9:00,22:00,70,17143,11,348,5,14
다문화어린이도서관모두,대구광역시,남구,작은도서관,9:00,16:00,22,17194,0,0,15,10
인헌동 보물섬 작은도서관,서울특별시,관악구,작은도서관,9:00,18:00,24,17199,0,190,5,14
금빛마을 작은 도서관,경상남도,진주시,작은도서관,10:00,13:00,50,17460,4,0,3,14
영동대학교 도서관,충청북도,영동군,대학도서관,9:00,18:00,422,170000,72,5141,3,10
개봉도서관,서울특별시,구로구,공공도서관,9:00,22:00,61,18525,18,0,3,14
칠암도서관,경상남도,김해시,공공도서관,09:00,23:00,1,070,181543,82,8804,5,14
도동어린이도서관,경상남도,진주시,어린이도서관,9:00,18:00,70,19928,17,278,5,14
연암도서관,경상남도,진주시,공공도서관,9:00,22:00,437,190057,99,8576,5,14
작은숲영어도서관,대구광역시,남구,작은도서관,10:00,15:00,20,2000,3,0,1,5
강남동 새마을문고,경상남도,진주시,작은도서관,9:00,18:00,9,2000,0,0,0,0
상대1동 열린 작은도서관,경상남도,진주시,작은도서관,9:00,18:00,20,2000,0,0,3,14
신안1차주공아파트새마을문고,경상남도,진주시,작은도서관,8:00,23:00,13,2000,0,0,0,0
아름다운 도서관,경상남도,진주시,작은도서관,11:00,19:00,20,2000,0,0,0,0
하늘소 작은 도서관,경상남도,진주시,작은도서관,12:00,18:00,20,2000,0,0,0,0
진주YWCA 다문화작은도서관 ‘단비’,경상남도,진주시,작은도서관,9:00,18:00,42,2000,0,0,3,14
중앙어린이도서관,경상남도,진주시,작은도서관,10:00,16:00,20,2000,0,0,0,0
우리마을도서관,경상남도,진주시,작은도서관,9:00,17:00,10,2000,0,0,0,0
큰사람문고,충청북도,영동군,작은도서관,9:00,18:00,50,2100,0,0,2,7
신천4동 작은도서관,대구광역시,동구,작은도서관,09:00,18:00,12,2103,6,0,5,15
효목1동 작은도서관,대구광역시,동구,작은도서관,09:00,18:00,12,2196,9,0,5,15
청개구리작은도서관,대구광역시,남구,작은도서관,9:00,17:00,10,2500,0,0,3,7
세빛도서관,전라남도,화순군,작은도서관,7:00,18:00,20,2500,1,0,3,14
꿈나무도서관,전라남도,화순군,작은도서관,9:00,17:00,24,2500,0,0,3,14
달빛 작은도서관,전라남도,화순군,작은도서관,13:00,17:00,30,2500,0,0,3,14
안심 작은도서관,전라남도,화순군,작은도서관,14:00,17:00,25,2500,0,0,3,14
동산 새마을작은도서관,경상남도,진주시,작은도서관,9:00,18:00,12,2500,0,0,3,14
미누마루도서관,경상남도,진주시,작은도서관,9:00,18:00,20,2520,2,0,3,14
화순중앙도서관,전라남도,화순군,작은도서관,10:00,18:00,28,2554,3,0,3,14
참좋은 작은도서관,경상남도,진주시,작은도서관,10:00,17:00,10,2719,20,0,1,7
더 나눔 작은도서관,부산광역시,동구,작은도서관,09:00,18:00,32,2760,0,0,2,14
광석빛돌작은도서관,충청남도,논산시,작은도서관,09:00,18:00,32,2840,0,0,5,10
한누리작은도서관,울산광역시,울주군,작은도서관,9:00,18:00,24,2967,0,0,3,14
비봉어린이도서관,경상남도,진주시,어린이도서관,9:00,18:00,38,20015,18,348,5,14
계림꿈나무도서관,광주광역시,동구,공공도서관,9:00,17:00,108,20402,0,583,5,15
진산도서관,충청남도,금산군,공공도서관,9:00,21:00,120,20516,11,0,10,14
원통도서관,강원도,인제군,공공도서관,09:00,22:00,132,20742,4,2220,2,14
울주도서관,울산광역시,울주군,공공도서관,9:00,22:00,790,200137,296,15812,5,14
무지개도서관,대전광역시,동구,공공도서관,9:00,18:00,71,23993,8,0,5,14
제천시립도서관,충청북도,충청북도 제천시,공공도서관,9:00,23:00,156,233137,1,710,13834,5,7
